x	y	cluster
-0.16	-17.46	5
20.14	-4.68	0
3.12	-10.38	5
22.57	0.69	0
-24.69	-5.22	3
19.92	-19.2	5
22.77	4.99	0
8.56	23.52	4
-0.01	-3.91	1
-14.34	-23.07	3
24.5	1.27	0
-16.44	11.55	2
18.07	-1.41	0
-0.79	-9.23	1
3.68	-11.34	5
0.86	-7.07	1
16.83	-1.39	0
18.75	2.69	0
2.37	-17.66	5
-2.0	-10.53	5
3.61	-11.31	5
2.84	-7.49	1
-4.98	-4.54	1
-3.19	-16.2	5
0.29	-15.95	5
-11.93	11.52	2
-3.32	-3.67	1
16.71	-12.12	5
0.05	-18.77	5
-3.65	-14.98	5
24.51	1.22	0
-16.19	-0.52	2
7.65	21.09	4
1.77	-10.77	5
-15.35	13.88	2
4.32	-15.59	5
2.02	24.14	4
-3.91	3.83	1
-8.44	-7.62	3
-19.63	-12.0	3
18.42	-14.95	5
-0.99	-13.18	5
14.56	17.15	4
1.07	-17.98	5
1.21	-5.26	1
-18.3	14.03	2
3.56	21.53	4
2.8	-7.27	1
-10.03	-11.59	3
-26.95	0.82	2
22.42	-10.87	0
-4.35	-17.56	5
18.01	10.4	0
4.87	-20.4	5
4.21	-0.22	1
-18.43	11.88	2
8.08	22.28	4
-2.23	-2.52	1
-12.03	-14.19	3
-16.93	-8.0	3
19.64	-12.42	5
6.28	-2.24	1
20.02	6.83	0
3.86	-19.63	5
7.17	-12.27	5
-16.2	11.62	2
6.02	20.84	4
-12.96	8.28	2
1.56	-15.38	5
5.05	-10.99	5
18.2	15.43	0
2.42	-10.29	5
4.29	22.58	4
-14.51	12.32	2
3.65	-6.8	1
-16.94	12.66	2
4.05	-12.54	5
25.34	-12.59	0
-2.31	-3.41	1
0.13	-20.01	5
-2.23	-19.54	5
-21.54	-8.63	3
-2.48	-9.62	1
-1.92	3.65	1
2.81	24.27	4
10.78	16.17	4
-9.58	-9.77	3
-9.73	-12.54	3
0.77	-22.19	5
-5.09	-0.97	1
0.24	-4.68	1
10.66	21.46	4
2.07	-7.39	1
-3.24	-8.9	1
15.7	13.27	0
-26.07	3.51	2
-19.14	-2.19	3
8.92	-21.08	5
-21.88	2.28	2
-23.03	-2.41	2
20.38	-10.45	0
23.7	5.47	0
18.44	13.38	0
18.9	16.66	0
21.1	-12.78	5
-10.3	10.45	2
7.21	-9.87	5
-0.14	-12.38	5
5.71	24.43	4
-14.94	5.34	2
2.9	-4.03	1
-8.98	-12.28	3
-0.08	-14.78	5
-5.4	-12.56	3
14.8	16.28	4
11.31	20.64	4
1.44	-5.46	1
1.13	-23.62	5
17.33	15.88	0
-20.45	-6.7	3
-5.26	-9.3	3
1.08	-10.68	5
5.72	-19.76	5
-18.3	-9.53	3
-1.63	-0.24	1
-19.84	-8.78	3
-14.05	5.21	2
7.58	-10.89	5
-1.65	-21.76	5
19.47	2.26	0
1.79	2.97	1
26.25	-11.81	0
-17.85	-9.14	3
3.92	-11.01	5
24.85	-13.1	0
0.14	25.08	4
-0.3	-11.02	5
-13.52	-9.03	3
17.48	13.75	0
-13.94	9.54	2
9.93	21.58	4
9.53	-9.76	5
-0.2	-20.88	5
7.7	-8.71	5
20.8	-12.87	5
22.26	-15.99	5
5.52	-20.47	5
1.49	1.4	1
5.42	-15.77	5
-1.32	-0.53	1
-4.27	-12.12	3
4.46	-11.03	5
3.17	-12.79	5
17.55	-8.22	0
1.36	-7.55	1
-0.37	-8.03	1
22.7	-13.28	0
-8.97	12.69	2
7.96	23.21	4
-1.76	-2.88	1
-4.06	8.4	1
5.27	-5.36	1
5.65	18.79	4
10.85	-21.26	5
-10.63	-4.29	3
-19.47	3.34	2
20.92	-1.59	0
-11.58	11.23	2
14.57	15.62	4
-5.7	-22.35	5
-6.67	1.7	1
-7.94	-8.73	3
3.15	20.83	4
8.77	-18.58	5
-10.76	-6.62	3
-15.67	-1.23	3
26.45	-3.94	0
-6.21	-17.51	3
18.38	15.16	0
1.07	-17.77	5
1.75	-9.22	5
-4.31	-17.07	5
0.65	20.82	4
13.43	-18.02	5
-13.27	-5.22	3
-22.5	0.82	2
23.4	-1.02	0
-8.89	1.57	1
14.97	15.32	4
7.5	-14.39	5
7.06	-7.67	5
-23.42	8.73	2
5.82	18.5	4
-17.35	10.65	2
-7.5	5.15	1
-7.04	12.8	2
17.76	10.05	0
-8.55	14.44	2
-3.16	18.97	4
-15.14	6.69	2
-2.65	-1.77	1
-16.04	13.87	2
-1.09	-1.75	1
27.57	4.13	0
14.17	-18.81	5
-4.23	-17.73	5
1.35	-13.72	5
-20.54	0.04	2
-7.08	1.42	1
9.72	-16.84	5
3.66	20.54	4
-0.62	24.85	4
-12.37	-1.53	3
-10.07	-5.36	3
-5.25	-19.55	5
-8.13	4.39	1
-13.28	-8.86	3
1.11	21.34	4
5.59	-11.56	5
-12.36	-3.6	3
5.5	13.62	4
-16.32	-3.37	3
-20.75	-1.93	2
1.89	-16.65	5
-25.42	0.55	2
-20.43	-1.71	2
28.89	2.74	0
14.12	16.93	4
14.67	14.97	4
19.18	11.19	0
25.97	2.57	0
-3.23	-11.35	5
11.39	-20.41	5
5.33	1.09	1
1.98	20.73	4
-6.92	-13.63	3
-5.5	2.77	1
-15.54	-7.83	3
-4.8	4.52	1
-15.04	-3.74	3
3.44	24.58	4
0.52	18.0	4
8.28	-25.34	5
2.64	-14.25	5
20.56	5.27	0
-20.47	-0.58	2
-16.02	-6.29	3
6.88	-20.62	5
0.96	-14.2	5
26.41	-4.16	0
13.96	16.81	4
-25.22	-2.73	2
10.93	-23.1	5
-15.98	-2.73	3
-7.23	-6.07	3
10.13	-20.74	5
-1.98	-17.41	5
17.35	11.24	0
1.94	-4.45	1
30.4	7.81	0
-10.43	1.05	1
3.47	-25.26	5
20.69	-6.39	0
1.19	20.31	4
-10.21	11.64	2
-22.37	3.87	2
17.11	17.6	4
-7.89	-13.31	3
14.96	15.66	4
15.21	-12.6	5
4.37	-17.02	5
-7.86	-1.3	1
29.47	9.38	0
28.1	-0.71	0
0.15	-16.0	5
-13.71	-5.06	3
-7.03	1.15	1
-11.44	-6.76	3
-12.94	-11.1	3
-13.46	11.42	2
5.18	-11.91	5
0.81	-0.98	1
-2.19	-13.94	5
28.85	1.68	0
-6.87	8.28	2
-4.93	1.73	1
26.84	-1.23	0
2.29	7.59	1
2.48	24.06	4
3.42	-11.96	5
-0.1	-8.26	1
-23.69	-1.83	2
-5.28	25.0	4
-6.06	2.43	1
-7.64	-11.21	3
-21.29	1.75	2
17.78	-3.77	0
-10.19	-2.93	3
20.82	10.95	0
2.55	-8.56	5
0.14	-1.07	1
-19.39	9.7	2
-0.79	24.95	4
2.51	-10.46	5
-7.15	-1.89	1
-17.38	8.31	2
21.99	-9.72	0
-1.52	-8.06	1
14.06	8.07	0
3.38	-5.47	1
-3.76	-8.22	1
-13.67	11.03	2
4.54	24.04	4
4.5	-8.46	5
-6.07	-5.92	1
-9.3	13.63	2
22.1	-8.12	0
-0.43	-5.94	1
16.16	10.17	0
6.25	-4.7	1
5.09	6.87	1
-14.63	11.36	2
7.51	16.99	4
-10.66	10.8	2
-15.22	1.13	2
-3.45	0.5	1
10.03	11.12	4
-12.27	5.25	2
-2.66	22.56	4
-13.24	10.23	2
-4.83	1.53	1
-20.69	11.77	2
-5.49	-1.86	1
19.18	-6.37	0
-1.31	-3.42	1
7.2	-1.92	1
-4.35	-16.6	5
-20.67	6.62	2
-1.57	-4.43	1
1.51	-7.79	1
2.81	26.52	4
5.37	21.46	4
-10.4	-6.22	3
-11.65	-8.53	3
2.53	-7.11	1
-7.02	2.62	1
-12.46	-5.14	3
-5.4	26.16	4
-0.25	-3.36	1
-11.76	-1.97	3
11.16	7.33	0
-14.19	4.55	2
-11.39	9.72	2
6.18	-0.64	1
-13.91	9.68	2
-12.83	9.18	2
22.58	-4.81	0
19.4	12.78	0
16.82	8.04	0
17.6	11.91	0
20.22	-6.14	0
-21.1	10.88	2
-0.47	-8.07	1
-5.33	6.14	1
2.17	18.85	4
-11.95	7.04	2
-5.79	0.2	1
-5.58	-9.9	3
-6.84	-3.52	1
-9.01	-8.39	3
-0.9	23.85	4
0.09	27.08	4
6.42	-12.74	5
8.84	0.69	1
21.07	9.4	0
-13.56	8.27	2
-6.03	-2.88	1
12.66	-12.08	5
-5.28	-14.13	3
17.35	1.06	0
13.59	10.93	0
-12.82	8.03	2
-0.34	-10.61	5
-15.96	3.85	2
-11.81	8.9	2
1.41	-11.22	5
-1.55	-2.29	1
12.78	13.26	4
-2.3	9.16	1
21.29	-4.47	0
-15.18	3.44	2
1.32	-5.85	1
20.79	-7.14	0
2.86	22.43	4
-7.05	-3.15	1
-12.04	6.38	2
20.86	11.23	0
-6.6	10.8	2
21.14	-3.91	0
2.27	-3.64	1
4.83	-6.23	1
-5.03	-2.07	1
14.94	-3.37	0
21.58	-4.09	0
2.87	-2.32	1
-6.51	-4.13	1
-1.48	8.15	1
-11.14	-6.83	3
3.07	-9.82	5
0.5	-9.89	5
-1.39	-11.22	5
-11.08	13.29	2
8.45	-1.39	1
20.32	-1.85	0
-2.53	-4.04	1
0.6	-9.41	5
19.01	-9.5	0
-12.84	9.46	2
0.61	22.33	4
-5.93	8.75	2
-14.73	12.65	2
-7.94	-2.25	1
-3.52	24.01	4
-0.88	-5.65	1
-3.12	-3.82	1
-13.99	13.46	2
19.37	-6.43	0
-1.96	6.28	1
14.0	12.26	0
-5.83	-18.47	5
3.55	-7.98	5
-7.95	9.95	2
0.13	21.95	4
-0.22	-4.0	1
-5.14	-7.46	1
-19.23	6.43	2
11.84	-7.64	5
-10.0	14.46	2
12.62	14.61	4
-7.22	-22.23	3
3.84	-2.86	1
-8.67	14.06	2
-6.47	18.3	4
1.62	-6.45	1
-8.19	-3.0	1
-12.07	2.28	2
22.32	-1.33	0
-13.65	10.91	2
13.1	17.26	4
-2.46	-16.0	5
-3.83	-2.18	1
-13.67	9.33	2
0.21	22.18	4
-6.09	-4.82	1
-11.89	2.32	2
-11.3	14.41	2
14.08	11.73	0
-11.53	11.77	2
-6.24	23.16	4
-19.45	12.57	2
6.02	-1.62	1
-8.38	6.2	2
0.33	-5.75	1
19.17	-2.81	0
7.42	-3.64	1
3.77	-16.61	5
-4.31	-20.19	5
-17.91	5.68	2
-13.31	12.16	2
11.96	-2.82	0
-2.51	24.69	4
-4.97	29.19	4
-10.33	-8.23	3
-4.99	-5.28	1
-5.74	-16.64	3
3.22	0.23	1
-12.71	-5.46	3
3.65	21.21	4
9.68	-2.93	1
-6.29	-5.75	1
12.96	8.22	0
-15.1	7.96	2
-19.61	10.28	2
-1.39	-19.31	5
-10.96	7.78	2
-11.77	6.72	2
24.74	-2.54	0
12.77	15.17	4
18.36	12.4	0
12.48	16.08	4
14.67	-9.16	5
-14.0	13.98	2
12.1	-1.1	0
-8.41	7.44	2
1.72	18.9	4
-19.14	10.21	2
-7.97	13.55	2
-10.53	-4.2	3
1.05	-1.18	1
-12.95	-2.86	3
-8.63	18.05	2
-1.73	20.17	4
8.26	-5.3	1
-5.48	-20.93	5
14.41	12.42	0
-14.22	5.8	2
-3.24	-0.15	1
4.97	-4.73	1
-2.09	-20.9	5
16.85	-6.48	0
17.71	6.11	0
-9.38	1.22	1
8.95	-1.76	1
-8.25	4.52	1
-10.22	14.7	2
0.43	-9.3	5
2.68	-19.36	5
16.35	14.41	0
2.34	-6.22	1
18.55	-2.04	0
-19.46	4.32	2
7.91	-11.54	5
19.83	-3.56	0
-8.72	19.22	4
-11.48	17.15	2
-16.96	6.48	2
17.49	12.61	0
-9.19	11.31	2
14.5	13.93	0
-0.2	-6.26	1
-4.63	-20.41	5
-10.62	6.57	2
15.66	0.24	0
24.39	-0.83	0
-2.96	-17.47	5
-7.64	-8.76	3
6.52	-2.38	1
-18.97	-9.24	3
-7.41	-5.11	3
-1.82	2.55	1
-6.38	-22.22	5
-20.82	12.35	2
-12.22	13.23	2
12.41	-6.25	5
2.1	-1.55	1
3.65	-10.38	5
15.06	-4.33	0
-18.44	16.36	2
-2.94	24.66	4
2.43	-6.71	1
-13.79	11.45	2
5.72	-6.56	1
3.12	23.42	4
10.3	-26.09	5
-11.27	-5.61	3
-15.87	-1.45	3
23.26	-10.44	0
4.45	1.62	1
16.79	12.71	0
-1.58	-17.67	5
-5.9	1.22	1
2.37	2.54	1
-0.91	11.52	4
13.7	-16.0	5
-10.57	-2.93	3
-18.63	7.78	2
27.16	-9.28	0
2.48	0.26	1
19.3	13.88	0
2.13	-18.91	5
-1.26	3.81	1
7.59	1.64	1
7.55	21.13	4
18.14	-11.14	5
-14.47	-2.79	3
-14.6	-3.25	3
17.06	-3.71	0
0.78	-2.68	1
17.32	13.77	0
4.02	-12.87	5
-3.24	3.49	1
1.74	7.27	1
4.94	19.35	4
10.32	3.06	0
18.23	3.16	0
6.3	-13.63	5
20.27	18.19	0
8.41	-8.1	5
-0.06	25.01	4
0.99	-4.46	1
-3.63	-2.53	1
8.48	1.29	1
-3.68	0.1	1
18.36	-10.62	5
10.25	-22.21	5
14.61	-7.23	0
7.98	-8.37	5
-11.73	6.72	2
4.42	-9.68	5
10.37	-19.54	5
7.69	22.41	4
-0.04	13.2	4
-15.09	-5.9	3
-10.97	-8.2	3
4.13	-16.21	5
-0.53	-6.23	1
-10.1	-8.45	3
14.57	9.41	0
0.57	-24.21	5
-9.73	-3.09	3
11.86	18.12	4
-24.38	6.56	2
-21.92	-0.1	2
0.56	-17.04	5
-24.34	6.38	2
-23.38	-4.1	3
15.73	-5.91	0
15.43	14.77	0
17.54	8.71	0
15.2	15.79	4
22.36	-6.7	0
5.3	-0.3	1
15.15	-14.17	5
9.72	6.0	0
8.41	20.05	4
5.22	-3.09	1
11.51	1.84	0
-13.59	-9.86	3
-3.39	1.78	1
-6.13	-5.6	1
5.75	17.81	4
3.88	23.17	4
0.66	-26.31	5
3.78	-13.54	5
17.95	15.65	0
-20.92	2.18	2
-9.76	1.37	1
8.04	-14.94	5
9.78	-9.91	5
25.19	-6.75	0
19.94	8.79	0
-21.28	4.76	2
9.89	-16.9	5
-5.16	-3.67	1
1.04	2.56	1
13.84	-18.48	5
7.72	-14.6	5
15.2	16.86	4
0.35	-8.66	1
19.53	-5.6	0
-9.66	-0.17	1
14.8	-17.53	5
7.76	-11.81	5
4.22	22.6	4
-3.65	6.84	1
-16.82	-8.99	3
23.09	10.53	0
9.84	-2.77	1
18.23	8.14	0
10.74	-22.24	5
5.71	-12.49	5
0.98	-11.11	5
14.95	-0.67	0
16.0	-9.87	5
12.7	-8.23	5
-13.84	-9.82	3
10.13	-9.45	5
-13.32	-7.43	3
-12.4	-8.59	3
7.86	-8.36	5
-2.39	-19.88	5
9.21	-0.35	1
3.85	-0.18	1
23.41	2.57	0
-2.68	4.84	1
7.23	-4.73	1
13.81	-11.33	5
1.62	3.61	1
3.37	17.29	4
-1.0	4.7	1
8.34	-11.09	5
3.55	-3.61	1
-3.26	19.71	4
2.51	-26.79	5
-11.55	-8.67	3
-5.39	2.0	1
28.22	3.12	0
-3.82	-19.82	5
9.08	21.02	4
-2.34	-16.21	5
4.3	0.97	1
-19.5	13.92	2
-4.09	26.52	4
-2.51	-20.44	5
-13.54	-9.74	3
-21.08	-1.63	2
29.81	-4.17	0
-1.47	-8.18	1
8.06	19.79	4
-2.89	-21.3	5
8.31	-3.83	1
-8.89	14.9	2
4.27	18.07	4
4.19	-26.28	5
-9.86	-4.88	3
-22.17	1.73	2
25.74	2.47	0
-1.35	-10.51	5
14.57	11.39	0
-6.83	-22.78	5
10.32	-8.0	5
-11.34	13.61	2
3.93	25.28	4
-16.51	15.52	2
-7.81	-21.75	3
8.23	-12.3	5
11.17	18.49	4
-4.47	-21.52	5
3.57	23.55	4
-11.05	9.12	2
-5.76	1.44	1
-17.7	14.58	2
-5.56	3.31	1
28.95	3.14	0
12.4	-9.47	5
-8.15	-18.07	3
-3.14	-17.06	5
-20.49	0.23	2
-1.3	-16.42	5
7.54	-18.94	5
1.8	17.8	4
5.36	17.28	4
-12.58	-11.88	3
-0.17	5.95	1
2.8	-16.46	5
0.98	5.02	1
-9.38	-6.72	3
3.66	21.72	4
-0.03	-3.03	1
-7.42	-8.84	3
20.48	6.27	0
-13.84	-6.59	3
-12.34	-5.8	3
-7.4	-20.61	3
-18.69	-1.55	2
-16.32	-7.04	3
26.98	-0.91	0
19.68	12.76	0
13.87	15.07	4
11.25	17.27	4
28.86	-0.72	0
-16.6	16.67	2
0.84	-21.51	5
-2.99	-13.49	5
6.74	22.41	4
-12.51	11.08	2
-3.72	-17.09	5
-3.79	-3.84	1
-6.12	-6.86	3
-3.17	-1.97	1
11.65	13.13	4
-5.14	21.25	4
11.01	-12.8	5
-5.25	-18.7	5
19.0	18.4	0
-21.41	-0.47	2
-11.79	-12.31	3
9.33	-19.7	5
0.8	-17.36	5
25.29	13.65	0
11.08	17.44	4
-19.18	-0.9	2
10.33	-25.3	5
-21.47	1.23	2
-12.61	8.24	2
9.01	-22.51	5
-1.2	-21.26	5
13.28	17.03	4
2.0	-3.66	1
25.41	2.35	0
-13.95	1.64	2
5.72	-26.03	5
25.68	4.37	0
-2.87	22.76	4
-4.25	-14.61	5
-17.43	-1.72	3
18.84	2.37	0
-16.93	12.73	2
17.41	16.2	0
6.22	-26.12	5
-0.01	-18.59	5
1.67	-12.0	5
27.27	-0.56	0
28.76	-0.36	0
-2.31	-19.24	5
-4.09	-2.76	1
-1.59	-5.49	1
-7.39	-6.96	3
-13.43	-5.3	3
-9.3	-15.06	3
-7.84	-20.16	3
-14.8	13.82	2
-2.11	-12.94	5
29.56	3.93	0
-1.72	-3.54	1
0.15	7.71	1
26.43	9.5	0
-11.47	16.04	2
6.79	20.92	4
1.04	-4.35	1
-20.86	12.02	2
10.42	-6.83	5
2.91	-5.78	1
-12.27	-11.28	3
-19.26	9.03	2
28.23	9.63	0
-9.45	3.47	2
12.53	17.75	4
5.18	-8.55	5
-8.95	5.01	2
-19.55	10.89	2
-3.64	24.95	4
-1.88	-7.0	1
-7.05	1.1	1
-17.97	7.82	2
28.76	6.93	0
-13.14	13.58	2
15.77	17.16	4
-3.11	-13.93	5
-9.53	0.88	1
-20.11	13.93	2
-4.44	22.74	4
7.75	-5.24	1
-15.94	-11.07	3
-20.21	6.1	2
20.43	5.51	0
-13.17	13.61	2
10.33	15.98	4
0.34	-13.09	5
-7.2	3.9	1
-21.8	8.93	2
0.68	24.47	4
-24.95	13.18	2
-15.07	16.85	2
-13.83	12.69	2
15.31	16.46	4
-15.87	14.99	2
-6.44	22.79	4
-17.73	14.97	2
-11.4	5.16	2
-21.22	14.26	2
-6.5	-1.72	1
22.7	3.64	0
-7.89	0.97	1
3.52	-14.78	5
2.81	-12.75	5
-14.38	6.48	2
-14.67	17.85	2
-5.2	2.49	1
-14.02	-13.63	3
2.41	-12.67	5
-11.54	3.84	2
-13.13	-6.0	3
-4.59	22.96	4
-0.29	-0.1	1
-11.25	-10.81	3
9.67	17.12	4
-20.08	4.54	2
-19.65	8.1	2
0.56	-14.03	5
-13.93	10.81	2
-17.07	12.49	2
16.78	6.69	0
17.43	16.01	0
14.01	15.7	4
13.24	15.12	4
19.89	-0.14	0
-18.31	10.68	2
-5.08	-3.49	1
-14.36	11.31	2
-10.3	24.08	4
-21.04	10.02	2
-14.88	14.46	2
-16.3	-3.59	3
-8.74	6.15	2
-12.13	-10.5	3
-6.99	19.82	4
-7.19	23.95	4
-2.52	-2.36	1
-2.56	-17.74	5
10.64	16.6	4
-7.91	14.16	2
-11.97	-11.25	3
3.78	-4.56	1
21.65	14.01	0
19.93	8.22	0
-21.63	8.55	2
-1.97	-5.46	1
-12.77	10.26	2
-13.75	14.18	2
-2.2	-5.85	1
5.36	-14.12	5
16.56	11.85	0
-6.43	4.91	1
13.68	6.69	0
-17.16	4.15	2
-3.93	-1.43	1
22.45	-1.48	0
-4.14	23.01	4
-12.3	3.68	2
-17.41	12.17	2
15.68	16.12	4
-22.69	14.44	2
15.91	16.55	4
-0.37	-0.9	1
3.26	-12.34	5
-13.79	16.49	2
27.24	3.14	0
20.53	4.85	0
-1.45	-14.99	5
-12.2	-5.97	3
-7.81	7.41	2
-11.21	-7.31	3
-13.64	-11.25	3
-12.59	18.63	2
1.29	-14.24	5
-17.65	16.2	2
-16.83	12.77	2
13.62	-3.89	0
24.45	-2.85	0
-10.83	7.1	2
-12.36	20.1	2
-9.11	0.97	1
-21.18	10.51	2
-11.76	4.73	2
1.01	21.12	4
6.54	-15.94	5
-11.53	-4.25	3
-23.14	5.44	2
17.0	-1.86	0
1.74	-12.01	5
12.79	16.64	4
-5.36	-18.29	5
1.53	-3.92	1
-12.88	-0.96	3
3.76	26.31	4
8.85	-17.0	5
-8.67	-7.68	3
-23.39	5.35	2
14.49	1.05	0
-4.62	-10.56	3
11.12	19.38	4
-0.04	-16.0	5
-11.21	-15.33	3
-10.9	7.63	2
2.14	22.9	4
8.69	-24.76	5
-15.19	-3.07	3
-24.58	3.21	2
21.26	1.02	0
-4.03	6.21	1
17.2	12.43	0
-1.26	-14.46	5
-8.31	0.71	1
-12.3	7.38	2
-2.84	23.97	4
-7.92	-0.14	1
3.38	-4.79	1
1.26	-7.67	1
18.89	6.02	0
9.15	-10.92	5
7.12	25.65	4
-13.06	6.92	2
-4.52	-0.58	1
-8.56	4.91	2
-3.84	-6.49	1
16.47	6.66	0
9.16	-19.76	5
-4.96	-15.27	3
-3.03	-14.76	5
-24.18	2.59	2
-6.65	-1.0	1
12.57	-22.27	5
4.71	18.38	4
0.3	20.04	4
-5.55	-15.18	3
-9.45	-17.4	3
-15.5	-7.96	3
-5.09	27.38	4
17.16	-11.66	5
-14.28	-5.14	3
16.59	7.09	0
-31.17	8.26	2
-28.4	3.18	2
-3.81	-19.75	5
-28.86	7.51	2
-28.83	4.41	2
18.1	0.15	0
15.34	12.44	0
17.28	8.04	0
19.79	11.14	0
5.11	-7.81	5
-9.67	10.37	2
6.92	-25.26	5
3.77	0.82	1
-3.31	22.17	4
-11.3	-4.46	3
2.4	-12.64	5
-13.0	-3.62	3
-10.21	-2.42	3
-19.14	-0.76	2
1.4	28.03	4
-0.68	30.09	4
13.17	-19.23	5
-4.51	-15.94	5
23.7	7.62	0
-24.8	4.77	2
-16.82	-7.66	3
5.2	-23.77	5
2.3	-15.31	5
17.34	-1.49	0
17.75	12.01	0
-27.88	4.25	2
1.25	-22.28	5
-3.2	-13.08	5
-7.75	4.83	1
7.97	-23.31	5
1.46	-15.79	5
13.63	12.12	0
-6.42	-3.77	1
20.19	-6.29	0
-27.08	6.02	2
14.42	-15.64	5
23.32	2.9	0
-0.76	21.87	4
1.39	-2.26	1
-27.48	4.68	2
19.4	7.99	0
-19.52	9.34	2
15.09	15.89	4
11.64	-21.65	5
-7.74	-19.55	3
3.38	11.43	4
26.04	9.18	0
14.35	3.2	0
-2.18	-14.92	5
-15.26	-6.46	3
-5.16	-9.98	3
-6.05	-9.69	3
-9.12	-3.96	3
1.99	-9.5	5
-7.42	-18.12	3
-17.13	0.71	2
9.32	2.57	1
23.77	3.23	0
-5.99	-5.45	1
-8.51	-5.28	3
17.58	-7.21	0
-2.29	2.42	1
-0.36	26.17	4
-0.4	-11.84	5
-17.4	-1.22	2
-4.34	-7.0	1
0.4	22.69	4
5.72	-14.6	5
-12.2	-6.62	3
-26.15	6.18	2
26.76	1.87	0
-0.82	14.2	4
5.38	19.6	4
-7.03	-18.98	3
-12.04	2.34	2
-14.58	16.42	2
2.31	18.23	4
6.18	-10.94	5
-16.44	-12.44	3
-25.34	1.86	2
27.29	9.04	0
-5.58	11.01	2
17.91	13.46	0
-1.41	-17.03	5
0.03	-8.9	1
-17.07	10.18	2
2.35	17.62	4
8.38	-15.6	5
-18.05	-13.39	3
-25.85	10.81	2
21.02	1.03	0
-3.93	-10.72	3
17.81	12.42	0
-0.57	-15.91	5
-3.24	-16.09	5
-6.54	12.62	2
-0.97	12.17	4
-18.01	13.72	2
-6.58	4.87	1
-9.23	-10.31	3
17.5	12.58	0
-6.02	-17.39	3
2.97	22.71	4
-16.43	12.22	2
-4.38	-7.94	1
-17.98	11.48	2
-3.16	-10.3	3
27.99	10.21	0
5.35	-22.43	5
-5.91	-16.71	3
-6.03	-20.01	5
-11.49	-26.05	3
8.15	8.7	4
4.91	-16.66	5
-0.77	22.86	4
-0.33	19.39	4
-18.83	-11.24	3
-15.36	-11.0	3
-1.76	-20.59	5
-2.29	-13.51	5
-12.98	-7.26	3
0.52	16.57	4
6.96	-26.44	5
-18.88	-9.17	3
13.79	14.1	4
-26.49	12.19	2
-23.85	-5.61	3
-4.32	-19.02	5
-23.41	-2.77	2
-28.39	6.51	2
26.16	12.67	0
15.6	11.47	0
19.02	12.04	0
19.4	10.94	0
27.36	3.8	0
-17.22	11.3	2
10.0	-17.35	5
8.04	-7.08	5
2.74	13.72	4
-14.43	8.56	2
-6.23	7.74	1
-19.87	-11.64	3
-8.88	-16.23	3
-17.09	-9.14	3
-3.81	11.78	4
-3.45	17.16	4
5.5	-26.84	5
-7.95	-17.07	3
13.51	12.77	0
-23.65	-10.92	3
-19.76	-7.33	3
0.12	-20.34	5
-2.66	-17.0	5
28.98	1.21	0
15.26	11.1	0
-22.98	-1.35	2
10.77	-22.54	5
-22.0	-0.21	2
-19.44	11.25	2
12.42	-19.36	5
-2.24	-18.72	5
17.18	9.56	0
-10.51	-14.78	3
27.8	6.52	0
-23.19	0.95	2
14.62	-7.85	5
29.52	6.81	0
2.57	19.23	4
-3.36	-9.67	1
-23.28	-12.89	3
15.4	13.87	0
-22.32	10.99	2
16.52	11.6	0
13.48	-3.44	0
-8.87	-17.09	3
